village_code,village_name,subdistrict_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
143562,Marhar Mau Khurd,822,372.0,26.7803251,81.0340601,26.7878799,81.04839,26.7722799,81.02472
143563,Marhar Mau Kala,822,377.0,26.7829975,81.0416527,26.79128,81.0489701,26.77658,81.0364199
143566,Churheya,822,218.0,26.8171249,81.0616662,26.82257,81.07379,26.80904,81.0572701
143567,Malookpur,822,177.0,28.103082,79.6059905,28.10709,79.61102,28.1000401,79.59993
143569,Dular Mau,822,200.0,26.7937585,81.0616662,26.8015701,81.0772301,26.7831799,81.0546801
143570,Noorpur Behata,822,261.0,26.8236648,81.072706,26.8312901,81.0896499,26.81316,81.0590401
143571,Sallahimau,822,188.0,26.8319257,81.0878831,26.8369701,81.0955999,26.82401,81.0793301
143574,Sureya Mau,822,373.0,26.8267974,81.1223656,26.83674,81.13934,26.82109,81.10848
143576,Mahmoodpur,822,496.0,28.7540723,77.3712026,28.7576332,77.3761082,28.7513501,77.3667526
143577,Bajoopur,822,187.0,26.8068379,81.0837442,26.81588,81.0917199,26.8011701,81.0684001
143580,Jahangeer Pur,822,373.0,28.1787958,77.7037131,28.184049,77.7108265,28.1724176,77.6983369
143581,Begariya,822,228.0,26.7972401,81.1168494,26.8182,81.1293199,26.79091,81.1101201
143584,Rasoolpur Tikniyamau,822,426.0,26.7982799,81.1333968,26.80873,81.14477,26.7901701,81.12418
143586,Saraykarora,822,215.0,26.7759303,81.1147807,26.77792,81.1281999,26.77354,81.1085001
143587,Kazee Khera,822,315.0,26.765802,81.1396011,26.7677482,81.141091,26.7634958,81.1359866
143588,Sadarpur Karora,822,429.0,26.7572864,81.1202971,26.76074,81.1243799,26.7526,81.11597
143590,Semanapur,822,220.0,26.7841656,81.0947808,26.79444,81.10168,26.77709,81.0865701
143591,Malauli,822,602.0,26.5513066,83.0294243,26.5598,83.0351599,26.5433699,83.02186
143594,Chand Saray,822,421.0,26.7721324,81.0892627,26.77837,81.1034099,26.7652001,81.08089
143595,Kasimpur Viruha,822,550.0,26.7772786,81.0782253,26.7914801,81.09113,26.7670801,81.0689201
143596,Muazzam Nagar,822,139.0,26.7807011,81.0630463,26.78658,81.07122,26.7739899,81.05608
143597,Sonaee Kazehra,822,455.0,26.7566057,81.0285377,26.7767001,81.04416,26.7450099,81.02099
143598,Pahar Nagar Tekareya,822,542.0,26.7696909,81.0506249,26.77761,81.0600399,26.7582999,81.0396898
143600,Sathwara,822,393.0,26.2374791,82.2610457,26.2445401,82.26586,26.2326999,82.2542999
143603,Sikandarpur Amauliya,822,322.0,26.7573062,81.0395821,26.76363,81.05644,26.7477201,81.0334201
143605,Rakeebabad,822,254.0,26.7456207,81.0395821,26.75047,81.04649,26.73696,81.03183
143606,Mohari Khurd,822,376.0,26.7280913,81.0395821,26.74083,81.05251,26.7153899,81.03388
143607,Mohari Kala,822,350.0,26.7229468,81.0506249,26.7377,81.0648699,26.71184,81.03855
143608,Habuapur,822,249.0,26.7370543,81.0658063,26.74416,81.07651,26.7291999,81.0595899
143609,Sithauli Khurd,822,230.0,26.7224453,81.0658063,26.72957,81.07352,26.7142301,81.0574199
143610,Semarapitpur,822,273.0,26.7102344,81.0575259,26.7184901,81.06876,26.70353,81.04879
143611,Daeetikar,822,241.0,26.7064613,81.0671863,26.7127001,81.07495,26.69835,81.05376
143612,Sithauli Kala,822,614.0,26.7102536,81.0809848,26.73337,81.09225,26.6977499,81.0673199
143615,Bhatti Barkat Nagar,822,508.0,26.6947725,81.0671863,26.70446,81.08611,26.6792,81.04606
143616,Tekra Jugraj,822,141.0,26.6779339,81.0782253,26.6855801,81.0913601,26.6695401,81.06761
143617,Bhaura Khurd,822,260.0,26.6789756,81.0947808,26.69095,81.10214,26.67358,81.0813101
143621,Deh Ramau,822,105.0,26.7315768,81.0947808,26.7415499,81.10279,26.7260899,81.0868799
143622,Rateya Mau,822,329.0,26.7381149,81.1058159,26.7447699,81.11702,26.7314101,81.09815
143623,Pahasa,822,106.0,26.7279746,81.1071952,26.7351999,81.11635,26.72578,81.0999001
143624,Echwailya,822,183.0,26.7205827,81.1058159,26.7261401,81.11472,26.71365,81.0982699
143625,Basteya,822,305.0,26.7391545,81.1223656,26.74868,81.1348399,26.73387,81.1109501
143626,Daudpur Saidapur,822,202.0,26.7525628,81.1265025,26.7574401,81.1359301,26.74383,81.11929
143627,Sekhanapur,822,205.0,26.7615013,81.1292603,26.76434,81.1368899,26.7565799,81.12248
143628,Basrheya,822,301.0,26.7474107,81.1375331,26.7555201,81.1484101,26.73972,81.1278899
143746,Kamal Pur Bichlika,822,472.0,26.6301258,81.0616662,26.64089,81.0755301,26.61786,81.0453301
143630,Mahura Khurd,822,273.0,26.732372,81.1423585,26.7337581,81.144172,26.730184,81.1402667
143631,Kutubpur,822,117.0,29.2217257,77.5189458,29.2308801,77.5315,29.21267,77.50767
143632,Hasanapur,822,218.0,28.7237807,78.2846303,28.7331947,78.2934665,28.7161089,78.2744122
143633,Jakhandi,822,941.0,26.694468,81.1554545,26.7181801,81.1688799,26.6855099,81.1346499
143635,Dhaurahra,822,671.0,27.3565321,81.0354406,27.3622599,81.04594,27.34914,81.0270801
143637,Mohammadabad,822,115.0,25.6168488,83.7531127,25.6253533,83.7637568,25.6088684,83.7396811
143638,Chauganpur,822,112.0,28.5585562,77.4730653,28.566004,77.4817181,28.5463641,77.4491611
