region_code,region_name,tehsil_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
135867,Mahduda,800,113.0,27.8277123,80.1623948,27.8405501,80.17443,27.8223299,80.15707
135937,Ajwapur,800,404.0,27.7929975,80.2019005,27.79813,80.2127201,27.7750401,80.19379
215498,Tandoli Khalsa,1010,198.0,27.7926248,78.6044052,27.7993099,78.6147799,27.78032,78.59849
135870,Dhaduao,800,281.0,27.8377146,80.1400671,27.84963,80.1539101,27.8266901,80.13139
191167,Singhi Dih,962,251.0,26.3465704,83.9519338,26.34963,83.95878,26.34385,83.94743
191168,Nonapar,962,599.0,26.3488754,83.9717805,26.35706,83.97826,26.3431201,83.95712
191171,Bhatni Khas,962,176.0,26.3312333,83.9717805,26.3545399,83.9853801,26.32258,83.96561
135877,Kathghara,800,227.0,26.2419428,84.0345856,26.245234,84.0407752,26.2399704,84.0295851
191174,Kurmouta,962,221.0,26.3791641,83.9929431,26.38586,84.00239,26.3737,83.98311
191175,Behra Daber,962,432.0,26.3726186,83.9770718,26.38279,83.98354,26.3649499,83.96548
135880,Piprahagrant,800,125.0,27.8465046,80.1009796,27.85236,80.1160699,27.83948,80.09437
191177,Bharhe Choura,962,1050.0,26.367404,83.9929431,26.37754,84.00375,26.3545399,83.9749399
191178,Savreji,962,546.0,26.3441032,83.9982326,26.35616,84.01226,26.33546,83.98344
191179,Dhanouti,962,148.0,26.3634647,83.8479642,26.3671,83.85191,26.36166,83.84416
191180,Musaila Khurd,962,137.0,26.3689783,83.8565799,26.37308,83.8608999,26.3642801,83.85179
135885,Pipraula Mardan,800,129.0,27.8312714,80.0506981,27.83691,80.0578701,27.82305,80.0386099
191182,Musaila Buzurg,962,100.0,26.3629855,83.853929,26.36603,83.86398,26.3587001,83.8516799
191183,Parsia Bhandari,962,108.0,26.3573332,83.8592306,26.3595598,83.86411,26.3538401,83.8573501
135888,Hariharpur,800,104.0,26.6643802,83.0025643,26.6713911,83.00982,26.6584283,82.9950142
135890,Bernavan,800,262.0,27.8170985,80.0953942,27.8333101,80.1018,27.8064899,80.08223
135891,Berkheriya,800,162.0,27.8121017,80.1065646,27.8177599,80.1148301,27.8042,80.09953
191188,Tilouli Urf Dehari,962,134.0,26.3515671,83.8618812,26.3545101,83.8672499,26.3470101,83.8551101
135894,Nagra,800,115.0,25.9680187,83.8711574,25.9759758,83.8807367,25.9619267,83.8663232
135895,Baldeota,800,505.0,27.7942947,80.1009796,27.80984,80.1110801,27.7815201,80.08366
135896,Mohanpur Grant,800,157.0,27.798889,80.0842224,27.8099101,80.0976799,27.7910701,80.0725499
191193,Padari Jhilipar,962,262.0,26.3819823,83.8857315,26.38707,83.89078,26.37626,83.87873
191194,Baidwali,962,155.0,26.3851477,83.8910303,26.3930599,83.8960601,26.3767899,83.8854501
135631,Jharakhempur,800,153.0,27.9096507,80.2335255,27.91422,80.2424299,27.9051899,80.22525
191196,Barsath,962,286.0,26.3132093,83.7706767,26.31551,83.78445,26.30136,83.7656399
191197,Rajawal,962,318.0,27.7768501,77.8495921,27.7792339,77.8521467,27.7732346,77.8450871
191198,Bahorwa,962,130.0,26.1437156,83.8499526,26.1497299,83.85786,26.13722,83.8419001
135903,Mohiuddinpur,800,647.0,29.9849648,77.6435896,29.9883926,77.6481055,29.981962,77.6392436
135904,Lakhnauriya,800,112.0,27.7928511,80.1414627,27.7991,80.149,27.78767,80.13132
191202,Mahui Pandey,962,159.0,26.3712112,83.8648942,26.3731,83.86843,26.36089,83.85906
191203,Dubouli,962,122.0,26.3377496,83.9519338,26.34015,83.9569401,26.33311,83.94682
191204,Ghusari,962,145.0,26.3455645,83.9281092,26.3485899,83.93091,26.3431599,83.9243199
135909,Sonauwa,800,317.0,27.784697,80.128901,27.7944299,80.13815,27.77581,80.11214
191207,Padari Pandey,962,413.0,26.3661392,83.8830975,26.3728526,83.89651,26.3582601,83.86792
135912,Bhogipursewa Ram,800,105.0,27.7622858,80.1400671,27.7732801,80.1536001,27.7503401,80.1330599
191210,Mazuri Khurd,962,179.0,26.368186,83.906924,26.37107,83.91266,26.36368,83.90079
191211,Mazuri Buzurg,962,186.0,26.3625313,83.912221,26.3682501,83.9186999,26.3584848,83.9065601
135917,Pataun,800,196.0,27.8386498,80.2140053,27.84394,80.22385,27.8336,80.20522
135918,Dulhapur Purkisan,800,298.0,27.8340383,80.2307372,27.8404901,80.24189,27.8248201,80.2193099
191215,Majhawalia,962,122.0,26.3891421,83.8128265,26.39699,83.8223401,26.37906,83.80698
191216,Chandpar,962,262.0,26.3661445,83.9281092,26.37117,83.9307,26.3625799,83.92022
135976,Jamuka,800,232.0,26.5028862,80.541067,26.52231,80.55964,26.4913099,80.52221
135922,Chaubiya Pur,800,272.0,27.8239049,80.1902963,27.8371601,80.1994201,27.8163601,80.17919
135926,Mahamoodpur Nazir,800,276.0,27.8108278,80.2307372,27.8173701,80.23814,27.8050601,80.2250199
135939,Jasmarhi,800,342.0,27.7940958,80.1791368,27.80383,80.19379,27.78662,80.16809
