region_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
200025,0.144,0.002,0.614,0.069,0.04,0.042,0.018,0.069,0.004,0.137,0.857,0.004,0.0,0.001,0.001,0.032,0.0,0.002,0.146,0.007,0.005,0.001,0.805,0.004,0.0
200026,0.225,0.001,0.408,0.094,0.116,0.089,0.004,0.057,0.005,0.11,0.884,0.004,0.0,0.001,0.0,0.054,0.0,0.001,0.03,0.013,0.005,0.004,0.892,0.002,0.0
195931,0.294,0.002,0.179,0.038,0.146,0.098,0.017,0.227,0.0,0.2,0.783,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.005,0.0,0.962,0.0,0.0
200029,0.223,0.003,0.516,0.115,0.038,0.003,0.007,0.091,0.003,0.08,0.916,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.014,0.01,0.871,0.0,0.0
195941,0.257,0.0,0.176,0.118,0.074,0.118,0.0,0.25,0.007,0.419,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200038,0.122,0.0,0.757,0.041,0.041,0.0,0.0,0.02,0.02,0.547,0.453,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.986,0.0,0.0
195948,0.099,0.0,0.418,0.072,0.075,0.014,0.002,0.317,0.002,0.007,0.978,0.014,0.0,0.0,0.0,0.014,0.0,0.0,0.002,0.0,0.002,0.0,0.981,0.0,0.0
195953,0.192,0.0,0.356,0.073,0.048,0.139,0.0,0.189,0.002,0.186,0.812,0.002,0.0,0.0,0.0,0.005,0.002,0.002,0.006,0.005,0.008,0.0,0.969,0.005,0.0
195954,0.231,0.0,0.74,0.029,0.0,0.0,0.0,0.0,0.0,0.5,0.49,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0
195957,0.395,0.023,0.359,0.055,0.036,0.055,0.0,0.077,0.0,0.064,0.932,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.023,0.009,0.0,0.895,0.005,0.0
163049,0.173,0.0,0.125,0.007,0.414,0.105,0.02,0.156,0.0,0.21,0.776,0.01,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.017,0.003,0.047,0.871,0.061,0.0
195965,0.034,0.0,0.248,0.08,0.176,0.076,0.004,0.382,0.0,0.013,0.975,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
195970,0.198,0.0,0.553,0.101,0.028,0.074,0.032,0.009,0.005,0.046,0.954,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.028,0.06,0.005,0.0,0.894,0.009,0.0
163051,0.454,0.003,0.048,0.037,0.285,0.099,0.0,0.054,0.021,0.157,0.839,0.001,0.001,0.0,0.001,0.018,0.003,0.001,0.019,0.012,0.021,0.257,0.665,0.005,0.0
195973,0.026,0.0,0.492,0.01,0.005,0.056,0.0,0.41,0.0,0.451,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.995,0.0,0.0
163023,0.137,0.0,0.371,0.018,0.222,0.015,0.02,0.213,0.003,0.617,0.345,0.0,0.006,0.0,0.032,0.0,0.0,0.0,0.056,0.009,0.076,0.126,0.731,0.003,0.0
163052,0.381,0.0,0.004,0.0,0.45,0.09,0.0,0.065,0.011,0.122,0.878,0.0,0.0,0.0,0.0,0.0,0.025,0.004,0.007,0.018,0.007,0.255,0.655,0.014,0.014
195978,0.397,0.0,0.33,0.072,0.052,0.062,0.0,0.088,0.0,0.165,0.784,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.51,0.005,0.0,0.0,0.479,0.005,0.0
195981,0.158,0.003,0.132,0.016,0.309,0.199,0.0,0.183,0.0,0.383,0.614,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163053,0.015,0.0,0.023,0.015,0.376,0.008,0.015,0.549,0.0,0.015,0.977,0.0,0.0,0.008,0.0,0.015,0.0,0.0,0.0,0.0,0.008,0.211,0.767,0.0,0.0
195987,0.377,0.006,0.237,0.056,0.259,0.028,0.0,0.037,0.0,0.062,0.925,0.009,0.0,0.003,0.0,0.034,0.003,0.006,0.143,0.016,0.006,0.025,0.766,0.0,0.0
195988,0.346,0.0,0.467,0.013,0.098,0.067,0.006,0.003,0.0,0.044,0.952,0.003,0.0,0.0,0.0,0.0,0.003,0.0,0.156,0.003,0.0,0.0,0.835,0.003,0.0
195989,0.162,0.0,0.488,0.046,0.012,0.073,0.0,0.22,0.0,0.076,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.003,0.0,0.89,0.0,0.0
195993,0.175,0.003,0.271,0.021,0.384,0.003,0.0,0.14,0.003,0.003,0.856,0.01,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.997,0.0,0.0
195996,0.313,0.016,0.321,0.126,0.113,0.036,0.003,0.066,0.005,0.019,0.973,0.008,0.0,0.0,0.0,0.047,0.0,0.0,0.011,0.003,0.011,0.014,0.912,0.003,0.0
196000,0.183,0.008,0.574,0.074,0.03,0.023,0.0,0.109,0.0,0.023,0.977,0.0,0.0,0.0,0.0,0.025,0.003,0.0,0.005,0.208,0.008,0.003,0.749,0.0,0.0
163056,0.036,0.0,0.067,0.01,0.472,0.005,0.0,0.409,0.0,0.145,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487,0.513,0.0,0.0
